id,IAST,Devanagari,ValidSanskrit,Traditional,InitialCluster,Vowel,Final,Place,Manner,Voicing,Aspiration,Nasal,Sibilant,Retroflex
seed-a,a,,True,False,,a,,,,,,,,
seed-aṃ,aṃ,,True,False,,a,ṃ,,,,,,,
seed-aḥ,aḥ,,True,False,,a,ḥ,,,,,,,
seed-at,at,,True,False,,a,t,,,,,,,
seed-aṭ,aṭ,,True,False,,a,ṭ,,,,,,,
seed-aṁ,aṁ,,True,False,,a,ṁ,,,,,,,
seed-ā,ā,,True,False,,ā,,,,,,,,
seed-āṃ,āṃ,,True,False,,ā,ṃ,,,,,,,
seed-āḥ,āḥ,,True,False,,ā,ḥ,,,,,,,
seed-āt,āt,,True,False,,ā,t,,,,,,,
seed-āṭ,āṭ,,True,False,,ā,ṭ,,,,,,,
seed-āṁ,āṁ,,True,False,,ā,ṁ,,,,,,,
seed-i,i,,True,False,,i,,,,,,,,
seed-iṃ,iṃ,,True,False,,i,ṃ,,,,,,,
seed-iḥ,iḥ,,True,False,,i,ḥ,,,,,,,
seed-it,it,,True,False,,i,t,,,,,,,
seed-iṭ,iṭ,,True,False,,i,ṭ,,,,,,,
seed-iṁ,iṁ,,True,False,,i,ṁ,,,,,,,
seed-ī,ī,,True,False,,ī,,,,,,,,
seed-īṃ,īṃ,,True,False,,ī,ṃ,,,,,,,
seed-īḥ,īḥ,,True,False,,ī,ḥ,,,,,,,
seed-īt,īt,,True,False,,ī,t,,,,,,,
seed-īṭ,īṭ,,True,False,,ī,ṭ,,,,,,,
seed-īṁ,īṁ,,True,False,,ī,ṁ,,,,,,,
seed-u,u,,True,False,,u,,,,,,,,
seed-uṃ,uṃ,,True,False,,u,ṃ,,,,,,,
seed-uḥ,uḥ,,True,False,,u,ḥ,,,,,,,
seed-ut,ut,,True,False,,u,t,,,,,,,
seed-uṭ,uṭ,,True,False,,u,ṭ,,,,,,,
seed-uṁ,uṁ,,True,False,,u,ṁ,,,,,,,
seed-ū,ū,,True,False,,ū,,,,,,,,
seed-ūṃ,ūṃ,,True,False,,ū,ṃ,,,,,,,
seed-ūḥ,ūḥ,,True,False,,ū,ḥ,,,,,,,
seed-ūt,ūt,,True,False,,ū,t,,,,,,,
seed-ūṭ,ūṭ,,True,False,,ū,ṭ,,,,,,,
seed-ūṁ,ūṁ,,True,False,,ū,ṁ,,,,,,,
seed-ṛ,ṛ,,True,False,,ṛ,,,,,,,,
seed-ṛṃ,ṛṃ,,True,False,,ṛ,ṃ,,,,,,,
seed-ṛḥ,ṛḥ,,True,False,,ṛ,ḥ,,,,,,,
seed-ṛt,ṛt,,True,False,,ṛ,t,,,,,,,
seed-ṛṭ,ṛṭ,,True,False,,ṛ,ṭ,,,,,,,
seed-ṛṁ,ṛṁ,,True,False,,ṛ,ṁ,,,,,,,
seed-ṝ,ṝ,,True,False,,ṝ,,,,,,,,
seed-ṝṃ,ṝṃ,,True,False,,ṝ,ṃ,,,,,,,
seed-ṝḥ,ṝḥ,,True,False,,ṝ,ḥ,,,,,,,
seed-ṝt,ṝt,,True,False,,ṝ,t,,,,,,,
seed-ṝṭ,ṝṭ,,True,False,,ṝ,ṭ,,,,,,,
seed-ṝṁ,ṝṁ,,True,False,,ṝ,ṁ,,,,,,,
seed-ḷ,ḷ,,True,False,,ḷ,,,,,,,,
seed-ḷṃ,ḷṃ,,True,False,,ḷ,ṃ,,,,,,,
seed-ḷḥ,ḷḥ,,True,False,,ḷ,ḥ,,,,,,,
seed-ḷt,ḷt,,True,False,,ḷ,t,,,,,,,
seed-ḷṭ,ḷṭ,,True,False,,ḷ,ṭ,,,,,,,
seed-ḷṁ,ḷṁ,,True,False,,ḷ,ṁ,,,,,,,
seed-e,e,,True,False,,e,,,,,,,,
seed-eṃ,eṃ,,True,False,,e,ṃ,,,,,,,
seed-eḥ,eḥ,,True,False,,e,ḥ,,,,,,,
seed-et,et,,True,False,,e,t,,,,,,,
seed-eṭ,eṭ,,True,False,,e,ṭ,,,,,,,
seed-eṁ,eṁ,,True,False,,e,ṁ,,,,,,,
seed-ai,ai,,True,False,,ai,,,,,,,,
seed-aiṃ,aiṃ,,True,False,,ai,ṃ,,,,,,,
seed-aiḥ,aiḥ,,True,False,,ai,ḥ,,,,,,,
seed-ait,ait,,True,False,,ai,t,,,,,,,
seed-aiṭ,aiṭ,,True,False,,ai,ṭ,,,,,,,
seed-aiṁ,aiṁ,,True,False,,ai,ṁ,,,,,,,
seed-o,o,,True,False,,o,,,,,,,,
seed-oṃ,oṃ,,True,False,,o,ṃ,,,,,,,
seed-oḥ,oḥ,,True,False,,o,ḥ,,,,,,,
seed-ot,ot,,True,False,,o,t,,,,,,,
seed-oṭ,oṭ,,True,False,,o,ṭ,,,,,,,
seed-oṁ,oṁ,,True,False,,o,ṁ,,,,,,,
seed-au,au,,True,False,,au,,,,,,,,
seed-auṃ,auṃ,,True,False,,au,ṃ,,,,,,,
seed-auḥ,auḥ,,True,False,,au,ḥ,,,,,,,
seed-aut,aut,,True,False,,au,t,,,,,,,
seed-auṭ,auṭ,,True,False,,au,ṭ,,,,,,,
seed-auṁ,auṁ,,True,False,,au,ṁ,,,,,,,
seed-ka,ka,,True,False,k,a,,velar,stop,voiceless,no,no,no,no
seed-kaṃ,kaṃ,,True,False,k,a,ṃ,velar,stop,voiceless,no,no,no,no
seed-kaḥ,kaḥ,,True,False,k,a,ḥ,velar,stop,voiceless,no,no,no,no
seed-kat,kat,,True,False,k,a,t,velar,stop,voiceless,no,no,no,no
seed-kaṭ,kaṭ,,True,False,k,a,ṭ,velar,stop,voiceless,no,no,no,no
seed-kaṁ,kaṁ,,True,False,k,a,ṁ,velar,stop,voiceless,no,no,no,no
seed-kā,kā,,True,False,k,ā,,velar,stop,voiceless,no,no,no,no
seed-kāṃ,kāṃ,,True,False,k,ā,ṃ,velar,stop,voiceless,no,no,no,no
seed-kāḥ,kāḥ,,True,False,k,ā,ḥ,velar,stop,voiceless,no,no,no,no
seed-kāt,kāt,,True,False,k,ā,t,velar,stop,voiceless,no,no,no,no
seed-kāṭ,kāṭ,,True,False,k,ā,ṭ,velar,stop,voiceless,no,no,no,no
seed-kāṁ,kāṁ,,True,False,k,ā,ṁ,velar,stop,voiceless,no,no,no,no
seed-ki,ki,,True,False,k,i,,velar,stop,voiceless,no,no,no,no
seed-kiṃ,kiṃ,,True,False,k,i,ṃ,velar,stop,voiceless,no,no,no,no
seed-kiḥ,kiḥ,,True,False,k,i,ḥ,velar,stop,voiceless,no,no,no,no
seed-kit,kit,,True,False,k,i,t,velar,stop,voiceless,no,no,no,no
seed-kiṭ,kiṭ,,True,False,k,i,ṭ,velar,stop,voiceless,no,no,no,no
seed-kiṁ,kiṁ,,True,False,k,i,ṁ,velar,stop,voiceless,no,no,no,no
seed-kī,kī,,True,False,k,ī,,velar,stop,voiceless,no,no,no,no
seed-kīṃ,kīṃ,,True,False,k,ī,ṃ,velar,stop,voiceless,no,no,no,no
seed-kīḥ,kīḥ,,True,False,k,ī,ḥ,velar,stop,voiceless,no,no,no,no
seed-kīt,kīt,,True,False,k,ī,t,velar,stop,voiceless,no,no,no,no
seed-kīṭ,kīṭ,,True,False,k,ī,ṭ,velar,stop,voiceless,no,no,no,no
seed-kīṁ,kīṁ,,True,False,k,ī,ṁ,velar,stop,voiceless,no,no,no,no
seed-ku,ku,,True,False,k,u,,velar,stop,voiceless,no,no,no,no
seed-kuṃ,kuṃ,,True,False,k,u,ṃ,velar,stop,voiceless,no,no,no,no
seed-kuḥ,kuḥ,,True,False,k,u,ḥ,velar,stop,voiceless,no,no,no,no
seed-kut,kut,,True,False,k,u,t,velar,stop,voiceless,no,no,no,no
seed-kuṭ,kuṭ,,True,False,k,u,ṭ,velar,stop,voiceless,no,no,no,no
seed-kuṁ,kuṁ,,True,False,k,u,ṁ,velar,stop,voiceless,no,no,no,no
seed-kū,kū,,True,False,k,ū,,velar,stop,voiceless,no,no,no,no
seed-kūṃ,kūṃ,,True,False,k,ū,ṃ,velar,stop,voiceless,no,no,no,no
seed-kūḥ,kūḥ,,True,False,k,ū,ḥ,velar,stop,voiceless,no,no,no,no
seed-kūt,kūt,,True,False,k,ū,t,velar,stop,voiceless,no,no,no,no
seed-kūṭ,kūṭ,,True,False,k,ū,ṭ,velar,stop,voiceless,no,no,no,no
seed-kūṁ,kūṁ,,True,False,k,ū,ṁ,velar,stop,voiceless,no,no,no,no
seed-kṛ,kṛ,,True,False,k,ṛ,,velar,stop,voiceless,no,no,no,no
seed-kṛṃ,kṛṃ,,True,False,k,ṛ,ṃ,velar,stop,voiceless,no,no,no,no
seed-kṛḥ,kṛḥ,,True,False,k,ṛ,ḥ,velar,stop,voiceless,no,no,no,no
seed-kṛt,kṛt,,True,False,k,ṛ,t,velar,stop,voiceless,no,no,no,no
seed-kṛṭ,kṛṭ,,True,False,k,ṛ,ṭ,velar,stop,voiceless,no,no,no,no
seed-kṛṁ,kṛṁ,,True,False,k,ṛ,ṁ,velar,stop,voiceless,no,no,no,no
