Cluster,Length,StartsWith,EndsWith,IsRepeated
b,1,b,b,False
bb,2,bb,bb,True
bbh,3,bb,bh,False
bc,2,bc,bc,False
bch,3,bc,ch,False
bd,2,bd,bd,False
bdh,3,bd,dh,False
bg,2,bg,bg,False
bgh,3,bg,gh,False
bh,2,bh,bh,False
bhb,3,bh,hb,False
bhbh,4,bh,bh,True
bhc,3,bh,hc,False
bhch,4,bh,ch,False
bhd,3,bh,hd,False
bhdh,4,bh,dh,False
bhg,3,bh,hg,False
bhgh,4,bh,gh,False
bhh,3,bh,hh,False
bhj,3,bh,hj,False
bhjh,4,bh,jh,False
bhk,3,bh,hk,False
bhkh,4,bh,kh,False
bhl,3,bh,hl,False
bhm,3,bh,hm,False
bhn,3,bh,hn,False
bhp,3,bh,hp,False
bhph,4,bh,ph,False
bhr,3,bh,hr,False
bhs,3,bh,hs,False
bht,3,bh,ht,False
bhth,4,bh,th,False
bhv,3,bh,hv,False
bhy,3,bh,hy,False
bhñ,3,bh,hñ,False
bhś,3,bh,hś,False
bhḍ,3,bh,hḍ,False
bhḍh,4,bh,ḍh,False
bhṅ,3,bh,hṅ,False
bhṇ,3,bh,hṇ,False
bhṣ,3,bh,hṣ,False
bhṭ,3,bh,hṭ,False
bhṭh,4,bh,ṭh,False
bj,2,bj,bj,False
bjh,3,bj,jh,False
bk,2,bk,bk,False
bkh,3,bk,kh,False
bl,2,bl,bl,False
bm,2,bm,bm,False
bn,2,bn,bn,False
bp,2,bp,bp,False
bph,3,bp,ph,False
br,2,br,br,False
bs,2,bs,bs,False
bt,2,bt,bt,False
bth,3,bt,th,False
bv,2,bv,bv,False
by,2,by,by,False
bñ,2,bñ,bñ,False
bś,2,bś,bś,False
bḍ,2,bḍ,bḍ,False
bḍh,3,bḍ,ḍh,False
bṅ,2,bṅ,bṅ,False
bṇ,2,bṇ,bṇ,False
bṣ,2,bṣ,bṣ,False
bṭ,2,bṭ,bṭ,False
bṭh,3,bṭ,ṭh,False
c,1,c,c,False
cb,2,cb,cb,False
cbh,3,cb,bh,False
cc,2,cc,cc,True
cch,3,cc,ch,False
cd,2,cd,cd,False
cdh,3,cd,dh,False
cg,2,cg,cg,False
cgh,3,cg,gh,False
ch,2,ch,ch,False
chb,3,ch,hb,False
chbh,4,ch,bh,False
chc,3,ch,hc,False
chch,4,ch,ch,True
chd,3,ch,hd,False
chdh,4,ch,dh,False
chg,3,ch,hg,False
chgh,4,ch,gh,False
